AAPL,AAPL,AAPL,AAPL,AAPL,GILD,GILD,GILD,GILD,GILD,JNJ,JNJ,JNJ,JNJ,JNJ,MSFT,MSFT,MSFT,MSFT,MSFT,REGN,REGN,REGN,REGN,REGN,TSLA,TSLA,TSLA,TSLA,TSLA
open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume
110.31,111.72,109.7,111.06,20661519.0,73.93,74.655,73.285,74.02,6260188.0,116.48,117.57,116.47,117.11,4507468.0,60.55,60.78,60.15,60.47,19613612.0,362.95,374.13,361.45,367.77,1021987.0,193.51,197.49,191.26,194.93,2699201.0
109.88,111.32,108.05,110.88,48414780.0,76.78,80.0,76.75,78.48,21725529.0,120.0,122.5,118.1,120.26,12897117.0,60.0,60.59,59.2,60.17,41737253.0,386.09,420.46,383.5,418.43,2375530.0,186.94,192.0,183.95,190.07,6623183.0
111.08,111.09,105.83,107.79,50396362.0,79.66,80.0,76.94,77.84,13826465.0,120.79,121.1,119.02,119.55,9955062.0,60.48,60.49,57.6302,58.71,50869218.0,422.02,431.26,418.96,423.0,948878.0,191.05,191.61,180.42,185.35,5556171.0
107.12,108.87,106.55,108.42,29535607.0,77.39,77.51,75.29,76.41,9737347.0,119.49,119.49,118.13,118.43,6594489.0,58.27,59.116,58.01,59.02,31874403.0,418.99,421.72,411.14,419.59,603131.0,184.24,188.88,183.0,188.57,3375200.0
107.71,107.809,104.08,105.7,44922624.0,77.03,77.125,76.07,76.75,7156635.0,118.58,118.99,116.5,116.61,8006583.0,59.1,59.1,57.28,58.12,34473815.0,421.22,452.96,418.845,444.94,1191587.0,188.0,188.25,178.19,181.42,5560643.0
106.57,107.68,106.1593,107.11,27342361.0,77.03,77.11,75.0,76.35,6862450.0,116.4,116.69,115.82,116.31,5802028.0,58.32,59.49,58.315,58.87,28862044.0,443.52,449.0,428.12,428.78,827928.0,182.78,186.43,182.05,183.77,3302754.0
106.7,110.23,105.15,110.01,34086433.0,76.08,76.88,75.57,75.995,7268273.0,116.65,116.78,116.08,116.36,4363165.0,58.94,59.66,54.27,59.64,21150032.0,428.0,430.9223,419.94,420.15,584995.0,182.65,184.73,181.21,183.93,2699732.0
109.82,110.35,108.83,109.94,23538548.0,75.76,76.015,74.85,75.57,7798464.0,116.68,116.68,116.12,116.55,3944013.0,60.41,60.95,59.965,60.64,27379935.0,406.14,410.1102,398.02,404.73,1199263.0,183.49,189.49,182.1101,188.73,3527119.0
109.72,110.54,109.66,110.06,21775028.0,75.59,75.74,74.25,74.63,6587147.0,115.79,115.9,114.81,115.4,6012680.0,60.72,61.14,60.3,60.37,21753885.0,403.54,410.64,397.02,397.49,789189.0,190.63,193.0,185.0,185.02,4366508.0
110.12,111.99,110.01,111.73,22945006.0,74.66,75.19,74.45,75.0,4665419.0,115.6,115.6799,114.8,115.02,4548882.0,60.54,60.97,60.42,60.87,15522685.0,398.98,410.0,398.36,405.5,719941.0,185.04,188.89,184.41,184.7,3268089.0
111.95,112.42,111.4,111.77,18575454.0,75.06,75.44,74.02,74.46,4824161.0,114.59,115.0,112.27,112.81,8785705.0,60.98,61.26,60.805,61.11,16093926.0,406.25,407.93,395.27,399.26,690693.0,185.84,191.47,183.71,191.16,4600001.0
111.36,111.51,110.33,111.225,20866996.0,73.84,75.35,73.76,75.32,5318857.0,112.25,113.43,111.56,113.04,6241397.0,61.01,61.1,60.25,60.4,15372652.0,393.61,403.35,390.24,402.34,693219.0,190.61,195.644,189.0,193.2013,4062465.0
111.13,111.87,110.95,111.78,9630641.0,75.47,75.55,74.87,75.44,2373494.0,113.43,114.23,113.38,114.05,2474441.0,60.3,60.53,60.13,60.53,6353319.0,402.34,402.34,394.5,398.16,185857.0,193.64,197.2372,193.64,196.5455,1974473.0
111.43,112.465,111.39,111.58,19275066.0,75.3,75.44,74.22,74.54,6230414.0,113.79,114.12,113.05,113.14,6846340.0,60.34,61.02,60.21,60.63,14506736.0,397.11,398.325,389.45,390.33,518561.0,195.48,199.35,194.55,196.12,3801913.0
110.78,112.03,110.07,111.46,24141040.0,74.69,75.4,74.29,74.89,5276318.0,112.78,113.41,112.165,112.51,5991103.0,60.65,61.41,60.52,61.11,17797603.0,391.77,394.49,386.54,387.2,547471.0,195.56,196.73,189.5,189.57,3721885.0
