AAPL,AAPL,AAPL,AAPL,AAPL,BRK.B,BRK.B,BRK.B,BRK.B,BRK.B,MSFT,MSFT,MSFT,MSFT,MSFT
open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume
109.17,110.09,108.85,109.89,20479778.0,160.05,160.12,158.7,159.41,2754760.0,59.08,59.47,58.8,59.26,20292229.0
110.0,110.03,108.25,109.1,26882437.0,160.25,160.68,159.27,160.175,2988664.0,59.7,60.585,59.56,60.21,18016433.0
109.5,110.36,109.19,109.94,21727265.0,160.57,161.55,159.9286,161.3,2522890.0,60.43,60.46,59.8,59.95,15912391.0
109.26,111.19,109.16,111.01,24588647.0,161.94,164.6,161.4,164.38,4298782.0,60.01,61.38,59.8,61.36,23875202.0
110.86,112.43,110.6,112.11,21747242.0,164.98,165.9527,163.5204,164.01,3832351.0,61.3,61.58,60.84,61.0,17876928.0
112.31,114.7,112.31,113.96,28959916.0,164.28,165.16,163.07,164.86,2553432.0,61.18,61.99,61.125,61.98,20285734.0
113.29,115.0,112.49,113.29,21593854.0,164.65,166.64,164.35,166.12,5345781.0,61.87,62.3,61.72,62.17,16223739.0
113.84,115.92,113.75,115.19,34528200.0,166.49,166.99,165.4,166.58,3176977.0,62.5,63.42,62.24,62.98,28088902.0
115.04,116.2,114.98,115.2,28192042.0,166.59,167.25,164.54,165.03,3099067.0,63.0,63.45,62.53,62.69,24307167.0
115.38,116.73,115.23,115.82,25218887.0,165.66,167.02,164.8,165.64,2802647.0,62.7,63.1535,62.3,62.57,22978222.0
116.47,116.5,115.645,115.9725,28243005.0,166.14,166.15,164.33,164.68,3828496.0,62.91,62.95,62.115,62.3,31174933.0
115.8,117.38,115.75,116.63,19901427.0,165.23,165.65,164.48,165.38,2036815.0,62.55,63.77,62.42,63.62,24657686.0
116.74,117.5,116.68,116.95,14957431.0,166.15,166.42,165.4,166.32,2098988.0,63.69,63.8,63.025,63.54,17989534.0
116.8,117.4,116.78,117.06,15403089.0,166.4,166.67,165.55,165.88,1754504.0,63.49,63.7,63.12,63.55,14075557.0
116.35,116.51,115.64,116.29,20570076.0,165.77,166.1161,164.89,165.99,1701645.0,63.84,64.1,63.405,63.55,17606085.0
115.59,116.52,115.59,116.51,11891714.0,166.26,166.44,164.77,165.2201,1464540.0,63.52,63.54,62.8,63.24,10181580.0
116.52,117.8,116.49,117.25,15072408.0,165.51,165.82,164.78,164.91,1484527.0,63.21,64.07,63.21,63.27,9585506.0
117.52,118.0166,116.2,116.75,17231568.0,165.45,165.64,163.56,163.67,1787818.0,63.4,63.4,62.83,62.99,11240805.0
116.45,117.1095,116.4,116.73,12401068.0,163.93,164.47,163.01,163.1,1709686.0,62.86,63.2,62.73,62.9,8444209.0
116.65,117.2,115.43,115.84,23250152.0,163.19,164.03,162.62,163.05,2358086.0,62.98,62.99,62.03,62.15,17483688.0
115.8,116.33,114.76,116.14,23412285.0,164.34,164.71,162.44,163.78,2929283.0,62.76,62.84,62.125,62.57,16435995.0
115.85,116.51,115.75,116.02,16862947.0,164.3,164.57,163.0,164.01,2578669.0,62.48,62.75,62.12,62.3,15429637.0
115.92,116.8642,115.81,116.61,19224150.0,164.06,164.14,162.18,163.31,1943396.0,62.19,62.66,62.03,62.3,17069869.0
116.78,118.16,116.47,117.91,27286295.0,163.44,163.8,162.64,163.51,1681491.0,62.38,63.15,62.04,62.84,16440221.0
117.95,119.43,117.94,119.0,27277644.0,163.04,163.25,162.05,162.19,1914181.0,62.79,63.08,62.54,62.65,13887243.0
118.77,119.38,118.3,119.11,19410132.0,162.0,162.74,161.41,161.5,1780129.0,62.73,63.07,62.28,62.62,13723652.0
118.74,119.93,118.6,119.73,23055044.0,161.54,162.45,161.03,162.22,2553256.0,62.61,63.23,62.43,63.16,17222903.0
118.895,119.3,118.21,119.25,22972978.0,162.0,162.145,160.33,161.36,2436208.0,63.09,63.4,61.95,62.61,17995223.0
119.11,119.62,118.81,119.03,20561275.0,161.81,163.13,161.51,161.87,2206171.0,62.62,62.865,62.35,62.685,14606611.0
118.34,120.24,118.22,119.99,28121739.0,161.96,162.0,159.3,159.56,3130166.0,62.67,62.7,62.03,62.52,14749095.0
120.0,120.5,119.71,119.97,18562058.0,160.04,160.86,159.43,160.51,2158816.0,62.67,62.7,62.12,62.49,13431945.0
119.4,120.09,119.37,119.77,18277861.0,160.82,161.12,159.11,159.41,2406568.0,62.31,62.98,62.195,62.29,14868654.0
120.45,120.45,119.7346,119.99,22210074.0,160.21,160.78,159.58,160.22,3072559.0,62.66,62.82,62.37,62.73,22900027.0
120.0,120.81,119.77,120.09,18036518.0,160.19,160.28,158.61,158.83,2569063.0,62.7,63.1159,62.57,62.98,18034633.0
